,fic_iServiciosViviendaLuz,fic_iServiciosViviendaAgua,Postulaciones anteriores a la UNMSM,Edad,fic_iServiciosViviendaTelefono,Tipo de preparacion universitaria,Situacion Familiar,Ingreso mensual familiar,Pago mensual de colegio,Tipo de colegio de procedencia,ES INGRESANTE?
122,1,1,1,20,0,0,1,2,3,0,SI
123,1,1,3,20,0,0,0,2,0,0,SI
124,1,1,2,17,1,0,4,2,3,0,SI
125,1,1,1,17,1,0,0,0,0,1,SI
126,1,1,4,23,1,4,0,4,3,0,SI
127,1,1,1,18,1,1,0,1,2,1,SI
128,1,1,2,18,0,1,1,3,3,0,SI
129,1,1,2,20,1,1,4,2,0,1,SI
130,1,1,2,21,1,0,4,3,0,1,SI
131,1,1,1,18,1,1,0,0,0,1,SI
132,1,1,2,17,0,2,4,3,0,1,SI
133,1,0,1,19,0,0,0,0,3,0,SI
134,1,1,1,18,1,0,4,0,0,1,SI
135,1,1,4,20,1,1,0,3,0,1,SI
136,1,1,0,18,1,0,0,0,3,0,SI
137,1,1,4,20,0,1,3,0,3,1,SI
138,1,1,2,18,0,4,1,4,3,0,SI
139,1,1,1,18,1,0,0,0,0,0,SI
140,1,1,0,18,1,0,0,0,1,1,SI
141,1,1,3,20,1,4,4,2,3,0,SI
142,1,1,4,22,1,1,1,1,3,0,SI
143,1,1,3,19,0,1,0,0,3,0,SI
144,1,1,4,20,1,1,3,1,0,1,SI
145,1,1,3,19,1,0,4,2,3,0,SI
146,1,1,1,19,0,1,0,0,3,0,SI
147,1,1,2,20,1,0,4,3,3,0,SI
148,1,1,1,18,1,1,0,1,2,1,SI
149,1,1,1,18,1,0,0,1,2,1,SI
150,1,1,1,19,1,0,0,2,3,0,SI
151,1,1,1,17,1,0,0,1,0,1,SI
152,1,1,2,16,1,4,0,1,3,1,SI
153,1,1,0,18,1,0,1,3,3,0,SI
154,1,1,3,19,0,0,4,2,0,1,SI
155,1,1,1,17,0,1,0,2,0,1,SI
156,1,1,1,19,1,1,0,1,3,1,SI
157,1,1,1,17,1,0,0,0,0,1,SI
158,1,1,2,22,0,1,4,3,3,1,SI
